query,region,title,excerpt,date,source,link
semiconductor,china,Export Controls on Emerging and Foundational Technologies ...,"On the flipside, our export control system seeks to ensure that our adversaries do not have comparable weapons and equipment.
The newest US export control law, the Export Control Reform Act (ECRA) covers so-called dual use items—those having recognized civilian as well as military applications—and low-level military items.
Luckily, the one set of emerging technology controls published by Commerce is multilateral and specific, and sources indicate that future rules will be similar.
Foundational technologiesIn a sense, foundational technologies sit at the opposite end of the spectrum from emerging technologies.
That said, it’s important to recognize the many positive aspects of the ECRA statute beyond its provisions on emerging and foundational technologies",2020-1-3,China Business Review,https://www.chinabusinessreview.com/export-controls-on-emerging-and-foundational-technologies-a-null-set/
semiconductor,china,4 Funds to Make the Most of the Chip Market Boom,"US-China Trade Deal to Push ChipmakersThis dependency on top-notch U.S. semiconductor companies on China's part makes the U.S. chip industry so critical.
Remember, the goal of the Zacks Mutual Fund Rank is to guide investors to identify potential winners and losers.
Reduced transaction costs and diversification of portfolio without several commission charges that are associated with stock purchases are primarily why one should be parking money in mutual funds (read more: Mutual Funds: Advantages, Disadvantages, and How They Make Investors Money).
To see how this fund performed compared to its category, and other 1 and 2 Ranked Mutual Funds, please click here.
Zacks’ free Fund Newsletter will brief you on top news and analysis, as well as top-performing mutual funds, each week",2020-1-3,Nasdaq,https://www.nasdaq.com/articles/4-funds-to-make-the-most-of-the-chip-market-boom-2020-01-03
semiconductor,china,4 Chip Stocks to Gain From China's Reliance on US Tech,"Chip stocks witnessed a strong rally in 2019, largely driven by investors’ optimism over a U.S.-China trade deal.
American Chip Design Tech is Paramount for China: Here’s WhyA major factor driving the importance of U.S. technology for China is the country’s reliance on specific American technologies for its supply chains.
Therefore, the functionality of China’s entire technology-intensive supply chains comes down to the operations in the American chip design tools industry.
Semiconductor Stocks at the ForefrontThis dependence on prominent U.S. chipmakers naturally brings semiconductor stocks to investors’ watch list.
4 Chip Stocks to Buy in 2020We have chosen four semiconductor stocks that are well positioned to gain this year from the aforementioned factors",2020-1-2,Nasdaq,https://www.nasdaq.com/articles/4-chip-stocks-to-gain-from-chinas-reliance-on-us-tech-2020-01-02
semiconductor,china,Chinese Travel Platform Ctrip Plans for Secondary Listing in ...,"According to Tencent News, Ctrip plans to return to Hong Kong for a secondary listing and has recently approached a number of Chinese and foreign investment banks.
This is yet another Chinese company that plans to return to Hong Kong for a secondary listing, after Alibaba successfully returned to Hong Kong for secondary listing in November.
SEE ALSO: Chinese Travel Platform Ctrip Enters Strategic Partnership with TripAdvisorNetEase is similar to Alibaba in terms of its weighted voting rights structure.
In April 2018, the Hong Kong stock market ushered in its most significant IPO reform in 24 years, reviving the “weighted voting rights” structure for the first time since 1989.
Companies with such a mechanism can apply for listing on the Hong Kong Stock Exchange",2020-1-3,Pandaily,https://pandaily.com/chinese-travel-platform-ctrip-plans-for-secondary-listing-in-hong-kong/
semiconductor,china,US-China financial war is just beginning to take shape,"Become an FT subscriber to read:Leverage our market expertiseExpert insights, analysis and smart data help you cut through the noise to spot trends, risks and opportunities.
Join over 300,000 Finance professionals who already subscribe to the FT",2020-1-2,Financial Times,https://www.ft.com/content/2e7fbd5a-655f-4419-8f5c-7e4c0904fe91
semiconductor,china,DARPA hopes to form quantum computing consortium,"Government funding ceased in 1996 as the US semiconductor industry was 
believed ... The country faces significant competition from rival 
superpower China, ",2020-1-3,Data Center Dynamics,https://www.datacenterdynamics.com/en/news/darpa-hopes-form-quantum-computing-consortium/
semiconductor,china,China is slowly moving up the microprocessing value chain,"Selling equipment to industry giants like Applied Materials in America makes it a small success for the semiconductor supply chain.
Currently a huge share of that market value moves through China, but is not captured by it.
Faster, higher, strongerOn November 6th the latest results of ML Perf, an industry-standard benchmark for AI chips, were published.
China’s strength in data-labelling at the very bottom of the AI supply chain is translating into design strength at the top.
Must do betterIn other parts of the semiconductor supply chain, things are less rosy",2020-1-2,The Economist,https://www.economist.com/technology-quarterly/2020/01/02/china-is-slowly-moving-up-the-microprocessing-value-chain
semiconductor,china,Huawei now sells its Kirin SoCs to Android manufacturers,"Huawei has decided to revise its strategy, the Kirin SoCs will not be exclusive anymore.
When we write the technical data sheet of a smartphone and report, for example, HiSilicon Kirin 980.
The company has the exclusivity on the use of the SoC produced by itself, indeed, it had!
Huawei Hisilicon now available for other companiesAmong other things, if you didn’t know, HiSilicon in China do also invests in the construction of security cameras.
The executive adds that Huawei will not grow as quickly as it did in the first half of 2019",2020-1-3,Gizchina.com,https://www.gizchina.com/2020/01/03/huawei-now-sells-its-kirin-socs-to-android-manufacturers/
semiconductor,china,"Dow jumps 300 points to start 2020, continuing last year's big rally","The Dow Jones Industrial Average advanced 330.36 points, or 0.9% to 28,868.80 and notched its biggest one-day gain since Dec. 6.
The S&P 500 closed 0.8% higher —marking its best performance since Dec. 12 — at 3,257.85.
Apple was among the best-performing Dow stocks, closing 2.3% higher and hitting $300 per share for the first time.
Semiconductor stocks are coming off a strong performance in 2019.
Thursday's gains come after Wall Street booked a strong 2019 performance on Tuesday, with the S&P 500 rising 28.9% in the year",2020-1-2,CNBC,https://www.cnbc.com/2020/01/02/dow-futures-point-to-a-higher-open.html
semiconductor,china,China's CNIPA Amends Blockchain &amp; AI Patent Applications,"Friday, January 3, 2020The China National Intellectual Property Administration (CNIPA) has announced amended Patent Examination Guidelines effective February 1, 2020.
6.1.2 Examination under Article 2 (2) of the Patent LawIf a claim passed muster under 6.1.1, the claim must also be examined under Article 2 (2)2 of the Patent Law.
Therefore, the solution for this invention patent application belongs to the technical solution specified in Article 2 (2) of the Patent Law and is subject matter eligible.
Therefore, the invention patent application does not belong to the technical solution specified in Article 2 (2) of the Patent Law, and is not subject matter eligible.
The full text of amended guidelines (Chinese only) are available from CNIPA as are the 2010 version of the guidelines in English",2020-1-3,National Law Review,https://www.natlawreview.com/article/cnipa-announces-amended-patent-guidelines-patent-applications-covering-ai-and
semiconductor,china,"With the state's help, Chinese technology is booming","America accuses China of stealing and spying its way up the technology supply chain and hobbling American technology by keeping it out of the Chinese market.
But to understand that you also need to come to grips with Chinese technology on its own terms.
But two other factors are taking over from raw state power as the motor of Chinese technological development.
The potential for new technologies to enhance and project Chinese power, and the threat that poses to a global order led by America, hangs over China’s technological development.
For those who wish to reduce or curtail Chinese technological power, knowing its strengths and vulnerabilities is vital",2020-1-2,The Economist,https://www.economist.com/technology-quarterly/2020/01/02/with-the-states-help-chinese-technology-is-booming
semiconductor,china,East Asia's Alliances Are Falling Apart,"Japan next removed South Korea from its white list of preferred trading partners.
On the South Korean side, Moon has staked a claim as a populist leader determined to reverse the policies of his corrupt, disgraced predecessor Park Geun-hye.
The South Korean president does not appear to have a clear approach for dealing with U.S.-China competition.
Despite multiple attempts by South Korean lawmakers to begin defusing tensions, Abe has reportedly told close advisors that he expects the situation to remain difficult for years.
With South Korea, for example, Trump could push Seoul to purchase U.S. defense equipment, providing new capabilities that would allow its military to respond more effectively to nuclear and missile threats",2020-1-3,Foreign Policy,https://foreignpolicy.com/2020/01/03/china-japan-korea-trump-comfort-women-east-asia-alliances-falling-apart/
semiconductor,china,Don't be fooled by the trade deal between America and China,"O N JANUARY 15TH , after three years of a bitter trade war, America and China are due to sign a “phase one” deal that trims tariffs and obliges China to buy more from American farmers.
In the 2020s the world will discover just how far this decoupling will go, how much it will cost and whether, as it confronts China, America will be tempted to compromise its own values.
When China joined the World Trade Organisation in 2001 reformers at home and friends abroad dreamed that it would liberalise its economy and, perhaps, its politics too, smoothing its integration into an American-led world order.
Mr Trump’s tactical aim is to help the economy in an election year; China is happy to buy time.
It would take 10-15 years for China to become self-sufficient in computer chips and for America to shift suppliers (see Technology Quarterly)",2020-1-2,The Economist,https://www.economist.com/leaders/2020/01/02/dont-be-fooled-by-the-trade-deal-between-america-and-china
semiconductor,china,"China SXT Pharmaceuticals, Inc. Received Nasdaq ...","About China SXT Pharmaceuticals, Inc.
Safe Harbor StatementThis press release contains forward-looking statements as defined by the Private Securities Litigation Reform Act of 1995.
Forward-looking statements include statements concerning plans, objectives, goals, strategies, future events or performance, and underlying assumptions and other statements that are other than statements of historical facts.
Specifically, the Company's statements regarding the closing of the proposed private placement are forward-looking statements.
For more information, please contact:Feng Zhou, Chief Executive OfficerEmail: [email protected]SOURCE China SXT Pharmaceuticals, Inc.Related Linkshttp://www.sxtchina.com",2020-1-3,PR Newswire,https://www.prnewswire.com/news-releases/china-sxt-pharmaceuticals-inc-received-nasdaq-notification-letter-regarding-bid-price-deficiency-300980775.html
semiconductor,china,Technological progress in China could still lead to fireworks,"Behind their legitimate concerns that China has stolen IP and that some of its companies cheat, American politicians worry that China’s approach to technological development can produce results which America’s mostly market-led model cannot.
In China the alignment between government policy and corporate technology development can be seen in the shift towards electric vehicles, largely to cut air pollution.
Published research, patents, people, contracts, supply chains and technical standards all link Chinese technology to that which underpins all the other advanced economies—and vice versa.
One reason not to fear imminent decoupling is that, even at its most successful, China’s model of technological development can proceed only so fast.
Its understanding of other aspects of Chinese technological development is probably even hazier",2020-1-2,The Economist,https://www.economist.com/technology-quarterly/2020/01/02/technological-progress-in-china-could-still-lead-to-fireworks
semiconductor,china,I-Mab Biopharma Announces Dosing of First Patient in a ...,"Site preparations in China have proceeded well with the first patient being dosed on schedule in the Phase 2 study.
""We are pleased that the first patient has been successfully dosed in mainland China,"" said Jingwu Zang, MD., PhD., Founder and Honorary Chairman of I-Mab Biopharma.
We look forward to accelerating TJ202/MOR202 clinical program significantly towards registration, which will benefit the patients with multiple myeloma in China,"" added Dr. Zang.
TJ202/MOR202 is a differentiated antibody originally developed by MorphoSys AG that has shown promise in preclinical animal studies and early human clinical trials.
I-Mab licensed the product from MorphoSys and owns the exclusive rights for its development and commercialization in mainland China, Hong Kong, Macao and Taiwan",2020-1-3,PR Newswire,https://www.prnewswire.com/news-releases/i-mab-biopharma-announces-dosing-of-first-patient-in-a-pivotal-phase-2-study-of-tj202mor202-in-multiple-myeloma-in-mainland-china-300980844.html
